Epoch,Coding Loss,Reconstruction Loss,Total Loss
0,0.027721511125564577,714.8467724609375,714.8744939720631
1,5.238010608128139,175.45783037458148,180.6958421107701
2,5.58450893674578,167.74125383649553,173.3257630266462
3,5.601886092594691,162.07115487234933,167.67304173060825
4,5.484997245243617,159.26858782087052,164.75358520507814
5,5.62674624306815,156.491628679548,162.1183754185268
6,5.704144802093506,154.57898184640067,160.2831263078962
7,5.7011024911063055,153.78340715680804,159.48450701032365
8,5.585326014927455,153.06834368024553,158.6536723109654
9,6.030760405404227,151.09824584960938,157.12900782993862
10,5.743283021109445,150.23500584193638,155.97829049246653
11,5.896174913133894,149.5359356689453,155.43211364746094
12,5.744504784175328,150.3925666155134,156.13707414899554
13,6.16569817679269,148.41757219587055,154.58327026367186
14,6.132300349644252,147.12335178920202,153.2556535121373
15,6.199772851126535,146.75652361188617,152.95629656110492
16,6.099911973135812,146.37430803571428,152.47422154017858
17,6.082302188873291,145.95262093680245,152.03492475237167
18,6.30207457951137,146.16923060825894,152.4713044956752
19,6.369162638528007,144.4059522356306,150.7751166643415
20,6.060986796787807,144.19112636021205,150.25211364746093
21,6.508935901096889,144.1969549560547,150.70589154924664
22,6.2884734344482425,143.42292245047432,149.71139927455357
23,6.456753659929548,143.9248747907366,150.38163016183034
24,6.452479523250035,143.13074026925224,149.58322030203684
25,6.627081827436174,142.89590523856026,149.52299019949777
26,6.129667263031006,143.89869864327568,150.02836321149553
27,6.4996433993748255,142.8211962018694,149.32083914620534
28,6.3480460139683315,143.1036167689732,149.45166687011718
29,6.611043341500419,142.92021109444755,149.5312548828125
30,6.367325025285993,141.98539385114398,148.35271806989397
31,6.45093149457659,141.58250427246094,148.03343427385602
32,6.441344702584403,141.3577791922433,147.79912580217635
33,6.578666978563581,141.56216073172433,148.14082815987723
34,6.481879738398961,141.89146231515068,148.37334333147322
35,6.529356024605887,141.0569886125837,147.5863449532645
36,6.6723372214181085,141.70578630719865,148.3781232561384
37,6.580403243473598,142.3211655970982,148.90156930106028
38,6.332865475245884,141.0476322719029,147.3804997907366
39,6.5577679634094235,140.9926908656529,147.55045933314733
40,6.526741774422782,140.99186017717633,147.51860595703124
41,6.724476334708077,141.1460635811942,147.8705419049944
42,6.467423504420689,142.03217389787946,148.49959237234933
43,6.581817498888288,141.32214233398437,147.90396187918526
44,6.662645939418248,140.90007795061385,147.56272478376115
45,6.633705297197614,140.75912013462613,147.39282636369978
46,6.519695216587611,141.29114580426898,147.81083966936384
47,6.658491153717041,140.26397800990514,146.92246704101564
48,6.726003227233886,140.4704257638114,147.19643075125558
49,6.72335035596575,141.15685407366072,147.8802033342634
50,6.47976685660226,141.23151515415736,147.71128365652902
51,6.785798279898507,141.075087890625,147.86088623046874
52,6.67708175114223,140.8424289376395,147.51951285226005
53,6.844927910396031,140.53124276297433,147.3761710030692
54,6.5678216797964915,140.16045296805245,146.72827715192523
55,6.783892260960171,140.24986676897322,147.03375697544644
56,6.55552592413766,141.689134085519,148.24466003417967
57,6.817063819340297,140.1682870047433,146.98535008021764
58,6.696550290243966,140.58861633300782,147.28516941615513
59,6.66311858858381,139.83967939104352,146.5027974155971
60,6.4739484786987305,140.1154402378627,146.589389125279
61,6.830204495021275,140.23992204938617,147.0701274762835
62,6.631148899623326,140.79091317313058,147.42206246512276
63,6.643751242501395,140.15738124302456,146.8011341203962
64,6.65173189163208,139.67340619768416,146.32514038085938
65,6.744673840659005,140.07368800571987,146.8183643450056
66,6.800049479348319,140.72352739606586,147.52357526506697
67,6.7020838219778875,139.9043593924386,146.6064439174107
68,6.606656090872629,140.00113839285714,146.6077916608538
69,6.5962903104509625,139.6560715157645,146.25236049107144
70,6.840330764225551,139.9572123500279,146.79754516601562
71,6.6523436873299735,139.55337585449217,146.2057213483538
72,6.96918183190482,139.71688947405133,146.68606811523438
73,6.74860614504133,139.52560267857143,146.27420950753347
74,6.623901323590959,141.6094757080078,148.2333766392299
75,6.815033787318638,140.09164760044644,146.90668387276784
76,6.879819619315011,139.61086321149554,146.49067984444756
77,6.910600005558559,140.10723493303573,147.01783281598773
78,6.644127742222377,139.44301147460936,146.08714067731586
79,6.758395323072161,140.12191667829242,146.88031180245537
80,6.712392283848354,140.29791181291853,147.01030290876116
81,6.8166181755065915,140.90137398856027,147.71798985072544
82,6.925899903433663,139.86026402064732,146.7861634172712
83,6.839795052664621,139.44623064313615,146.2860294015067
84,6.879552015577044,140.53126717703682,147.41081978934153
85,6.776318413870675,139.49993940080915,146.2762588936942
86,7.042409251076834,139.58442347935267,146.62683314732143
87,6.753985870906285,141.0198374720982,147.77382027762278
88,6.658198269435338,139.80008422851563,146.45828491210938
89,6.890988020215715,139.70608032226562,146.5970703125
90,6.651656270708356,138.99427734375,145.6459361921038
91,6.669745085580009,140.7941422816685,147.46388741629465
92,6.848525851113456,140.5026820591518,147.3512105015346
93,6.889883967808315,140.06724417550222,146.95712550571986
94,6.631241520472935,139.14789542061942,145.77913809640066
95,7.025450314113072,139.51732282366072,146.54277369907925
96,6.882155614580427,139.29285784040178,146.17501238141742
97,6.740230494907924,139.27981244768415,146.02004359654018
98,6.908230457305908,139.59230843680245,146.50054225376675
99,6.926869964599609,139.24137860979351,146.1682461983817
100,6.602325919015067,141.1167698451451,147.7190935407366
101,7.091468677520752,139.46022609165738,146.551693812779
102,6.891714248657227,139.74400538853237,146.63571943010604
103,6.723437197549003,139.72831682477678,146.45175589425224
104,6.850339082990374,139.41103541782925,146.2613742501395
105,6.855541490827288,139.82914454868862,146.68468915666853
106,6.865405006408691,139.1618732561384,146.02728105817522
107,6.660600689479283,139.45603864397322,146.11663888113839
108,6.737284905569894,139.33006068638392,146.06734828404018
109,6.814011519295828,139.20366071428572,146.01767342703684
110,7.001279754638672,139.50085963657924,146.50213884626115
111,6.809044832502092,139.3070183454241,146.1160631452288
112,6.946991836002895,138.96679356166294,145.9137881905692
113,7.025721833365304,139.30959690638952,146.3353195626395
114,6.840208328792027,139.3931631033761,146.23337254115512
115,6.968807005201067,139.97155238560268,146.94036080496653
116,6.930906554630824,139.34266139439174,146.27357073102678
117,6.751941558292934,138.95567243303572,145.70761169433592
118,6.948423750741141,140.8563441685268,147.8047714669364
119,6.882718037196568,139.80620570591518,146.68892551967076
